student_id,gender,ethnicity,city,district,program_start,program_status,programEnd,grad_date,feeder_id
18649,M,Mayan,,BELIZE,8/15/2016,Terminated,,,53
18659,M,Unknown,,Cayo,8/15/2016,Terminated,,,30
18660,M,Unknown,,BELIZE,8/15/2016,Terminated,,,42
18662,M,Unknown,BELMOPAN,Cayo,8/15/2016,Graduated,12/9/2020,12/9/2020,66
18700,M,Unknown,,BELIZE,8/15/2016,Graduated,6/19/2020,6/19/2020,40
18734,F,East Indian,,BELIZE,8/15/2016,Terminated,,,20
18742,M,Unknown,BELMOPAN,Cayo,8/14/2017,Graduated,6/19/2020,6/19/2020,13
18768,F,Unknown,,Cayo,8/1/2021,In Process,,,13
18776,M,Unknown,,Cayo,8/15/2016,Graduated,12/12/2019,12/12/2019,27
18805,M,Unknown,BELMOPAN,Cayo,8/15/2016,Terminated,,,30
18806,F,Unknown,SAN IGNACIO,Cayo,8/15/2022,In Process,,,13
18813,M,Unknown,SAN PEDRO TOWN,BELIZE,8/15/2016,Dropped,,,3
18821,M,Unknown,Belize City,BELIZE,8/15/2016,Terminated,,,70
18826,M,Unknown,,Cayo,1/16/2017,Graduated,5/16/2019,5/16/2019,30
18855,M,Unknown,DANGRIGA TOWN,STANN CREEK,8/14/2017,Terminated,,,13
18871,M,Garifuna,Belmopan City,Cayo,8/9/2016,Terminated,,,30
18880,F,Unknown,,BELIZE,8/14/2017,Dropped,,,56
18897,M,Mestizo,,STANN CREEK,8/1/2018,Terminated,,,36
18904,M,Unknown,BELMOPAN,Cayo,8/1/2020,Terminated,,,13
18913,M,Mestizo,BELMOPAN,Cayo,8/1/2018,Terminated,,,49
18916,M,Mestizo,,Cayo,8/14/2017,Terminated,,,65
18926,M,Unknown,BELMOPAN,Cayo,8/14/2017,Terminated,,,30
18931,M,Unknown,BELMOPAN,Cayo,8/14/2017,Terminated,,,30
18936,M,Unknown,,BELIZE,8/14/2017,Terminated,,,63
18943,M,Unknown,BELMOPAN,Cayo,1/4/2018,Dropped,,,10
18959,M,Mestizo,,Cayo,8/14/2017,Terminated,,,38
18969,M,Creole,,Cayo,8/14/2017,Terminated,,,54
18978,M,Mayan,,TOLEDO,8/14/2017,Terminated,,,45
19000,M,Mestizo,Belize City,BELIZE,8/18/2018,Graduated,12/9/2022,12/9/2022,40
19032,M,Unknown,,BELIZE,8/14/2017,Terminated,,,53
19042,M,Mayan,,TOLEDO,8/14/2017,Dropped,,,25
19072,F,Creole,,BELIZE,8/14/2017,Dropped,,,1
19083,M,Creole,BELIZE,BELIZE,8/14/2017,Terminated,,,63
19094,M,Mestizo,,Cayo,8/14/2017,In Process,,,27
19136,M,Mestizo,BELMOPAN,BELIZE,8/14/2017,Terminated,,,30
19156,F,Unknown,,TOLEDO,8/14/2017,Terminated,,,36
19165,M,Mestizo,BELMOPAN,Cayo,8/14/2017,In Process,,,66
19196,M,Creole,,BELIZE,8/14/2017,Dropped,,,20
19212,M,Unknown,,Cayo,8/14/2017,In Process,,,27
19253,M,Mestizo,,BELIZE,8/14/2017,Terminated,,,53
19262,M,Creole,,BELIZE,8/1/2018,In Process,,,37
19298,M,Mestizo,DANGRIGA TOWN,STANN CREEK,8/1/2018,Graduated,7/31/2020,7/31/2020,25
19325,M,Mestizo,,Cayo,8/1/2018,Terminated,,,27
19330,M,Mestizo,,Cayo,8/1/2018,Terminated,,,27
19344,M,Mestizo,BENQUE VIEJO TOWN,Cayo,1/1/2019,Dropped,,,27
19357,M,Mestizo,Belmopan City,Cayo,8/1/2018,Terminated,,,30
19363,F,Other,Santa Elena Town,Cayo,8/1/2018,Terminated,,,21
19373,M,Other,,Cayo,8/14/2017,Terminated,,,35
19376,F,Garifuna,DANGRIGA TOWN,STANN CREEK,8/14/2017,Graduated,5/20/2022,5/20/2022,25
19412,M,Other,BELMOPAN,Cayo,8/14/2017,Terminated,,,66
19444,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/14/2017,Terminated,,,26
19451,M,Mayan,,TOLEDO,8/14/2017,Dropped,,,62
19472,M,Mestizo,,STANN CREEK,8/14/2017,Graduated,5/16/2019,5/16/2019,25
19499,M,Mestizo,,Cayo,8/14/2017,Dropped,,,38
19529,M,Mestizo,Belize City,BELIZE,8/14/2017,Terminated,,,20
19542,F,Mestizo,,Cayo,8/14/2017,Dropped,,,30
19549,M,Other,Belmopan City,Cayo,8/14/2017,Graduated,5/16/2019,5/16/2019,30
19575,M,Other,BELMOPAN,Cayo,8/14/2017,Terminated,,,66
19598,M,Mestizo,BELMOPAN,Cayo,8/14/2017,Graduated,5/16/2019,5/16/2019,30
19625,M,Mestizo,BELMOPAN,Cayo,8/14/2017,Dropped,,,30
19633,M,Creole,,BELIZE,8/14/2017,Terminated,,,20
19650,M,Mestizo,,Cayo,8/14/2017,Graduated,5/16/2019,5/16/2019,32
19676,F,Mestizo,BELMOPAN,Cayo,8/14/2017,Graduated,5/16/2019,5/16/2019,30
19702,M,Creole,Santa Elena Town,Cayo,8/14/2017,Terminated,,,27
19716,M,Mestizo,SAN IGNACIO TOWN,Cayo,8/14/2017,Terminated,,,27
19732,M,Mestizo,BELMOPAN,Cayo,8/14/2017,Terminated,,,30
19752,M,East Indian,,TOLEDO,8/14/2017,Dropped,,,45
19769,M,Mestizo,Santa Elena Town,Cayo,8/14/2017,Dropped,,,27
19783,M,Mestizo,BENQUE VEJIO TOWN,Cayo,8/14/2017,Graduated,7/23/2021,7/23/2021,38
19817,F,Creole,Belmopan City,Cayo,8/14/2017,Graduated,7/27/2019,7/27/2019,30
19845,M,Mestizo,Belmopan City,Cayo,8/1/2018,Dropped,,,54
19850,F,Mestizo,,Cayo,8/14/2017,Graduated,5/20/2022,5/20/2022,38
19893,M,Mestizo,,Cayo,8/14/2017,Dropped,,,34
19911,M,Creole,BELMOPAN,Cayo,8/14/2017,Terminated,,,54
19918,M,Mestizo,Belmopan City,BELIZE,8/14/2017,Graduated,6/19/2020,6/19/2020,20
19954,M,Creole,,STANN CREEK,8/14/2017,Terminated,,,44
19979,M,Mayan,,Cayo,8/14/2017,Graduated,5/20/2021,5/20/2021,21
20012,M,Creole,ORANGE WALK TOWN,ORANGE WALK,8/14/2017,Transferred,,,33
20031,M,Mestizo,,Cayo,8/14/2017,Graduated,12/12/2019,12/12/2019,21
20058,M,Mestizo,,STANN CREEK,8/14/2017,Terminated,,,25
20065,F,Mestizo,,Cayo,8/14/2017,Graduated,5/20/2021,5/20/2021,77
20101,M,Creole,Belize City,BELIZE,8/17/2020,In Process,,,40
20127,M,Garifuna,Belmopan City,BELIZE,8/1/2018,Dropped,,,30
20132,M,Creole,,Cayo,8/14/2017,Dropped,,,32
20146,M,Mestizo,Belize City,BELIZE,8/1/2018,Terminated,,,22
20160,M,Creole,,BELIZE,8/1/2018,Terminated,,,54
20176,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,8/1/2018,Dropped,,,38
20182,M,Mestizo,Belmopan City,Cayo,8/1/2018,Terminated,,,30
20183,M,Mayan,,STANN CREEK,8/13/2018,Graduated,12/9/2020,12/9/2020,36
20215,M,Other,,STANN CREEK,8/13/2018,In Process,1/17/2023,1/17/2023,36
20250,M,Creole,Belize City,BELIZE,8/1/2018,Dropped,,,20
20258,M,Creole,BELMOPAN,Cayo,8/1/2018,In Process,,,21
20295,M,Mestizo,,Cayo,8/1/2018,Terminated,,,32
20300,M,Mayan,,STANN CREEK,8/1/2018,Dropped,,,36
20310,M,Mestizo,BELMOPAN,Cayo,8/13/2018,Graduated,5/20/2021,5/20/2021,30
20345,F,Creole,Belmopan City,Cayo,8/13/2018,Graduated,7/23/2021,7/23/2021,30
20378,M,Mestizo,Santa Elena Town,Cayo,8/1/2018,In Process,,,27
20407,M,Ketchi,BELMOPAN,Cayo,8/1/2018,Terminated,,,45
20424,M,Mestizo,,Cayo,8/1/2018,Dropped,,,66
20437,M,Creole,,Cayo,8/1/2018,Terminated,,,30
20438,F,Creole,BELMOPAN,Cayo,8/1/2018,In Process,,,66
20482,M,Mestizo,,Cayo,8/1/2018,Terminated,,,24
20483,M,Creole,SAN IGNACIO TOWN,Cayo,8/1/2018,Dropped,,,27
20520,M,Mestizo,BELMOPAN,Cayo,8/1/2018,In Process,,,30
20562,M,Mestizo,,ORANGE WALK,1/13/2020,Graduated,5/20/2022,5/20/2022,28
20586,M,Creole,,BELIZE,8/1/2018,Terminated,,,20
20592,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,8/1/2018,Terminated,,,38
20601,M,Mayan,,STANN CREEK,8/1/2018,Terminated,,,36
20626,M,Mestizo,SAN PEDRO,BELIZE,8/1/2018,Terminated,,,39
20627,M,Mestizo,,BELIZE,8/13/2018,Graduated,5/20/2021,5/20/2021,10
20660,M,Mestizo,STANN CREEK,STANN CREEK,8/1/2018,Dropped,,,36
20668,M,Garifuna,DANGRIGA TOWN,STANN CREEK,8/1/2018,Terminated,,,2
20675,M,Mestizo,BELMOPAN,Cayo,8/1/2018,Dropped,,,30
